,Unnamed: 0,주제,제목,내용
0,0,0,0,0
1,1,경찰,[150905] 사법경찰관리의직무를행할자와그직무범위에관한법률중개정법률안(김병태의원 외 20인) 입법예고중,"■ 제안이유

우리나라의 學校暴力은 점차 胸幅化·組織化되는 傾向이 있고, 年齡層이 낮아짐은 물론 女學生에게까지 擴散되
고 있어 社會問題로 擡頭되고 있음. 實例로 지난 6月 警察廳과 市道敎育廳의 調査結果 全國的으로 活動하고 있
는 中·高生 불량서클은 82개파, 771명이 活動中인 것으로 밝혀져 衝擊을 주고 있으며, 한 統計에서는 男學生
의 51％, 女學生의 38％가 學校暴力의 經驗이 있는 것으로 나타나 學校暴力이 深刻함을 보여주고 있다. 그러나 
限定된 警察力으로 이러한 學校暴力을 根絶하기에는 力不足인 狀況이며 더욱이 學校內暴力에 대해서는 거의 無
防備인 상태임. 이에 일정한 資格을 갖춘 各級學校敎師에게 司法警察官吏의 職務를 行할 수 있도록 하여 靑少
年犯罪로부터 多數 善良한 學生들을 保護하고 學校敎育正常化에 일조를 擔當하게 하고자 함.




■ 주요골자

1.   國·公立 및 私立의 初等學校·中學校·高等學校에서 學生을 지도·敎育하는 正敎師(1級·2級) 및 準敎師
     로서 學校長의 提請에 의하여 그 勤務地를 管轄하는 地方檢察廳檢事長이 指名한 자는 司法警察官의 職務
     를 行함(案 第5條第2項)

2.  第5條第2項에 規定된 者의 職務範圍와 搜査範圍는 그 所屬學校內 또는 所屬學校의 所在地 邑·面·洞에서 
    發生하는 滿18歲未滿의 靑少年에 의한 犯罪로 함(案 第6條第23號)"
2,2,경찰,[150711] 경찰관직무집행법중개정법률안(김기재의원 외 25인) 입법예고중,"■ 제안이유

改正된 刑事訴訟法의 逮捕令狀制등 導入에 따른 關聯規定을 整備하고, 警察官職務執行手段인 警察裝具와 관련
된 문제를 개선하는 등 現行法의 運用過程에서 나타난 未備點을 補完하려는 것임.



■ 주요골자

1.  '95年 改正된 刑事訴訟法('97.1.1施行)에서 緊急逮捕, 逮捕令狀制度가 導入됨에 따라 留置場 收容對象에 
    逮捕된 者를  추가함(案 第9條)

2.  「警察裝具」의 범위가 명확치 않고, 裝具와 裝備의 구분이 모호하므로「警察裝具」를「警察裝備」로 改稱
     하고, 그 범위를 內務部令으로 정하도록 함(案 第10條)

3.  逮捕令狀執行시에도 武器使用이 가능하도록 명시함(案 第11條第1項)

4.  催淚彈 사용시와 같이 武器를 사용하는 경우에도 사용결과를 記錄하여 보관하도록 義務規定을 新設함(案 
    第11條第2項)"
3,3,경찰,[150618] 경찰관직무집행법중개정법률안(추미애의원 외 22인) 입법예고중,"■ 제안이유

犯人의 逃走遮斷 또는 集會 및 示威의 鎭壓 등에 있어서 警察裝備의 사용 등에 대한 法令上의 根據나 規制가 
미흡하고, 그 사용방법에 관한 구체적인 規定이 없어서 그 濫用으로 인한 人命被害가 심각한 實情임.
이에 따라 警察裝備의 사용등에 대한 法令上의 根據와 規制를 補完하여 國民의 生命, 身體에 대한 부당한 危害
를 防止하고자 함.

■ 주요골자

1.  警察官은 犯人의 逮捕·逃走의 방지 또는 不法集會·示威로 인하여 자기 또는 他人의 生命·身體와 財産 
    및 公共施設安全에 대한 현저한 危害發生을 抑制하기 위하여 부득이한 경우, 現場責任者의 合理的인 判斷
    下에 身體에 직접 危害를 可하지 않는 범위 내에서 大統領令이 정하는 바에 따라 噴射器(銃砲·刀劍·火藥
    類등團束法의 規定에 의한 噴射器와 그 作用劑, 투척식催淚彈 포함)를 사용할 수 있도록 함(案 第10條의2 
    第1項)

2.  警察官은 犯人의 逮捕·逃走의 방지, 자기 또는 他人의 生命·身體에 대한防護, 公務執行에 대한 抗拒의 
    抑制를 위하여 필요하다고 인정되는 상당한 이유가 있을 때에는 그 事態를 合理的으로 判斷하여 필요한 限
    度내에서 大統領令이 정하는 바에 따라 銃砲등 을 사용할 수 있도록 하고 그 사용결과를 記錄·보존하도록 
    함(案 第11條)

3.  身體에 직·간접으로 危害를 加할 수 있는 警察裝備에 관하여는 敎育, 自體安全檢査 또는 定期安全檢査를 
    거친 후에 사용하도록 하고, 警察裝備는 그 製造당시의 상태를 임의로 改造하거나 통상의 用法과 달리 임
    의의 裝備를 附着하지 못하도록 함(案 第11條의2)

4.  警察裝備의 使用規定에 違反하여 사람을 死傷에 이르게 한 者를 별도로 處罰할 수 있는 規定을 新設함(第
    11條의2)"
4,4,경찰,[150354] 전투경찰대설치법중개정법률안(김옥두의원등 10인 외 70인) 입법예고중,"■ 제안이유

對間諜作戰의 수행을 任務로 하는 戰鬪警察巡警이 과거 對間接作戰 뿐만 아니라 治安業務의 補助인 集會 및 示
威를 鎭壓하는데도 동원되어 왔었으며 이는 國防의 義務를 이행하기 위하여 徵集된 兵力을 治安業務를 補助하
는데 활용함으로써 違法의 문제와 國民에게 良質의 治安을 제공하지 못하는 문제를 가져왔음.
따라서 戰鬪警察巡警이 對間諜作戰 수행이라는 본연의 任務에만 충실하도록 하고 나아가 治安業務 補助 활동인 
集會및 示威와 관련하여 戰鬪警察이 動員되는 문제의 원천을 根本的으로 해결하며 國民에게 民主的이고 效果的
인 治安 서비스를 제공하고자 戰鬪警察隊設置의 目的을 對間諜作戰 수행으로 한정하고자 함.




■ 주요골자

1.  戰鬪警察隊設置의 目的과 任務를 間諜(武裝共匪를 包含한다)의 浸透拒否·捕捉·殲滅 기타의 對間諜作戰 
    수행으로 함(案 第1條)

2.  治安業務의 補助를 任務로 하는 戰鬪警察巡警의 任用規定을 削除함(案 第2條의3第2項)

3.  治安業務의 補助를 任務로 하는 戰鬪警察巡警 任用豫定者에 대한 警察廳長의 추천 規定을 削除함(案 第3條
    第2項)"
5,5,경찰,[150149] 경찰법개정법률안(정균환의원등 17인 외 112인) 입법예고중,"■ 제안이유

獵奇적인 强力事件이 發生할 때나 警察公務員의 크고 작은 不正腐敗行爲가 드러날 때마다 言論은 이를 크게 報
道하면서 우리나라 警察行政을 비판하여 왔다. 그리고 政府와 執權黨은 그 뒷수습에 적절히 대처하지 못하고 
實效性 없는 對策만을 임기응변식으로 提示하여 비판적인 國民輿論을 적당히 무마시켜 왔다. 지금까지 警察行
政이 안고 있는 構造的인 問題點이 드러났지만 이에 대한 恒久的이고 一貫性 있는 解決方案을 提示하지 못하여 
警察行政의 構造的 矛盾은 그대로 남아 있는 것이 현실이다.
우리나라 警察이 안고 있는 문제점은, 警察의 政治的 中立이 보장되어 있지 아니하고, 地方警察制가 실시되지 
못하여 地方自治制와의 均衡을 상실하고 있으며, 民生治安에 소홀한 점이다. 따라서 警察의 政治的 中立과 地
方警察制 設置, 그리고 民生治安 確立은 警察行政이 안고 있는 構造的인 문제점을 解決하는 基本目標라고 할 
것이다.
警察의 政治的 中立, 地方自治體 警察, 民生治安 確立은 相互 不可分의 관계를 맺고 있다. 政治的 中立과 公正
한 運營의 制度化, 權限의 分散과 責任 賦與, 그리고 地方의 警察行政을 住民의 監視아래 두어 民生治安을 效
率적으로 强化하는 것은 상호 密接한 聯關을 맺고 있는 것이다. 이는 法과 制度에 의한 民主主義 實現차원에서 
物理的 公權力을 행사하는 警察을 정치적으로 中立시키고, 地方自治制 실시 목적의 하나인  住民의 生命과 財
産을 스스로 保護하는 것을 實現하기 위하여 地方的 事務인 地方警察行政을 地方自治團體의 義務이자 責任, 그
리고 權限으로 하며, 警察本然의 임무인 國民의 生命·財産 保護, 公共의 安寧秩序등에 公權力을 공정하게 行
使하도록 하는 것이다.
一個 政派의 私的 利益인 政權維持의 私兵이라는 汚名을 씻고 民衆의 지팡이로서 國民으로부터 진정코 사랑받
는 警察이 되기 위해서는 무엇보다 警察의 政治的 中立이 필요하다. 지금 世界化·地方化 時代를 맞이하여 世
界的으로 國家競爭力 提高를 위하여 地方分權化 推進, 地方의 參與·責任·創意力 提高등이 이루어지고 있고, 
우리도 95年 6.27 4대 地方選擧 實施를 계기로 본격적인 地方化 時代가 開幕되었지만, 아직도 地方 政治·行
政 環境은 과거 中央執權的·權威主義的 政治·行政 體制와 文化의 틀에서 한치도 벗어나지 못하고 있다. 이로 
인하여 마땅히 地方自治事務로 包含되어 할 地方의 警察行政이 아직도 中央政府가 장악하고 있어 警察의 政治
的 中立뿐만 아니라 民生治安 不在, 그리고 警察行政의 效率的인 執行이 이루어지지 않고 있는 것이다. 民生治
安確立도 警察의 政治的 中立과 地方警察制 設置를 통해서만 그 實現이 可能하다고 본다.
解放이후 지난 第5共和國末 憲法改正時까지에 警察內部에서도 특히 政權變動期에 警察行政이 안고 있는 이 構
造的인 問題를 本格的으로 擧論하였으나, 執權者 및 그 周邊의 權力勢力에 의하여 번번히 挫折되었다. 第13代 
國會 들어서도 당시 國會의 過半數議席을 차지하고 있었던 野黨은 警察의 政治的 中立을 主要 目的으로 하는 
野3黨의 共同 警察法案을 마련하여 그 立法을 目前에 두었으나, 갑작스런 정치상황의 變化로 한순간에 수포로 
돌아가고 말았다. 당시에 정부가 마련한 警察法案이 國會에서 强行 處理되었는데, 治安本部가 警察廳으로 昇格
되는 등 外樣的인 약간의 變化만 있었을 뿐 그 이외 警察의 政治的 中立, 民生治安確立과 관련하여서는 그 어
떠한 중요한 부분이 달라진 것이 전혀 없었다. 文民政府임을 標榜하면서 改革의 旗幟, 世界化·地方化 時代 開
幕을 드높게 내세웠던 金泳三政府가 登場한 이후 지금 이 時點까지 法과 制度에 의한 改革중 중요한 位置를 차
지하고 있는 警察의 政治的 中立과 地方警察制 실시에 대해서는 어떻게 하겠다는 立場을 전혀 表明하지 않고 
있다. 
이에, 警察 制度上의 不合理와 矛盾을 除去하지 않고서는 民主主義 發展이 불가능하다는 사실을 切感하기 때문
에, 警察이 權力으로부터 獨立하여 政治的 中立性을 確保하고, 地方自治團體가 責任과 權限을 갖고 地方警察行
政을 擔當하며, 警察權이  國民의 生命과 財産을 保護하고 公共의 安寧과 秩序維持에 盡力할 수 있는 諸般 制
度的 裝置를 마련하고자 이 改正案을 提案하는 것이다.






■ 주요골자

1.  이 法의 目的은 個人의 自由와 權利를 보호하고, 公共의 安寧과 秩序를 維持하기 위하여 民主的 原理에 입
    각한 警察의 管理와 運營및 能率적인 任務遂行에 필요한 組織에 관한 사항을 規定하는데 있음(案 第1條)

2.  警察의 任務는 개인의 生命과 身體 및 財産의 보호와 犯罪의 豫防·鎭壓 및 搜査, 交通의 指導·安全保護, 
    기타 公共의 安寧과 秩序維持이며, 警察의 活動은 職務範圍내에 局限되어야 하고 그 職務遂行에 있어서는 
    不偏不黨하고 嚴正中立을 기하여야 하며 憲法이 보장하는 개인의 自由와 權利를 侵害하는 등 그 權限을 濫
    用하여서는 아니되도록 함(案 第2條)

3.  누구든지 法律에 정한 경우를 제외하고는 國家警察委員會 및 特別市·廣域市·道地方警察委員會나 警察의 
    職務에 관하여 指示하거나 干涉하지 못하도록 함(案 第3條)

4.  國務總理 所屬下에 國家의 公安에 관계되는 警察運營을 管掌하며 警察廳을 管理하는 國家警察委員會를 두
    고 이는 委員長과 17人의 委員으로 構成하며, 委員중 9人은 國會에서 推薦한 者를 大統領이 任命하고 委員
    長과 8人의 委員은 國務總理의 提請으로 大統領이 任命하되, 委員長은 國務委員으로, 委員은 政務職國家公
    務員으로 補하도록 함(案 第5條 및 第6條)

5.  警察委員會 委員은 現役軍人 또는 檢察·警察·國家安全企劃部에 勤務한 者로서 退職후 3年이 경과하지 아
    니한 者, 國家公務員法 第33條(缺格事由)第1項 各號의 1에 해당하는 者는 委員이 될 수 없으며, 政黨 기타
    의 政治的 活動을 할 수 없고, 國家 또는 地方自治團體의 다른 職을 겸할 수 없으며, 任期는 4年으로 함
    (案 第8條)

6.  國家警察委員會 傘下에 警察廳을 두고 警察廳에 廳長과 次長 各 1人을 두며, 廳長은 治安總監으로, 次長은 
    治安正監으로 補하고, 警察廳長은 國家警察委員會의 提請으로 國務總理를 거쳐 國會의 同意를 얻어 大統領
    이 任命하고 任期는 2년으로 하되 重任할 수 없으며, 退任후 4년간 任命職 公職에 就任할 수 없도록 함(案 
    第12條) 

7.  警察廳 所屬의 警正이상의 경찰관은 警察廳長의 提請으로 國家警察委員會의 同意를 얻어 大統領이 任命하 
    고,警察廳 所屬의 警監이하의 경찰관은 警察廳長의 提請으로 國家警察委員會가 任命하도록 함(案 第20條)

8.  特別市長·廣域市長·道知事 所屬下에 特別市·廣域市·道地方警察委員會를 두고, 市·道地方警察委員會는 
    委員長을 포함한 10人의 委員으로 구성하되, 政務職 地方公務員으로 補하며, 委員중 5人은 特別市·廣域市
    ·道議會議員의 被選擧權이 있는 者 중에서 市·道議會에서 推薦한 者를 市·道知事가 任命하고 委員長을 
    포함한 5人의 委員은 市·道知事가 任命하며, 委員의 任期는 4年으로 함(案 第21條 내지 第23條)

9.  警察廳 管轄下에 市·道地方警察廳을 두고 市·道地方警察廳에 地方警察廳長 各 1人을 두며, 特別市地方警
    察廳長은 國家警察委員會가 特別市地方警察委員會의 同意를 얻어 국가경찰위원회의 제청으로 國務總理를 
    거쳐 大統領이 任命하고, 廣域市·道地方警察廳長은 警察廳長이 廣域市·道地方警察委員會의 同意를 얻어 
    提請한 者를 國家警察委員會가 任命하도록 함(案 第26條)

10. 市·道地方警察에 소요되는 經費중에서 大統領令으로 정하는 부분은 당해 市·道의 財政自立度를 감안하여 
    國庫에서 差等 支給하도록 하여 市·道간에 均等한 治安行政 서어비스 제공을 維持하도록 함(案 第27條)

11. 市·道地方警察廳長은 管轄區域내의 警察事務를 統轄하고 그 所屬職員을 指揮·監督하며, 市·道地方警察 
    廳 相互間에는 協力과 共助를 하도록 함(案 第28條)

12. 市·道地方警察廳 管轄下에 警察署를 두고 警察署에 署長 1人을 두며 總警으로 보하고, 警察署長은 당해 
    市·道地方警察廳長의 提請으로 警察廳長이 任命하며 警察署長은 警察廳長과 市·道地方警察廳長의 指揮
    ·監督을 받아 그 管轄區域내에서의 警察職務를 처리하고 所屬職員을 指揮·監督하도록 함(案 第29條)

13. 市·道地方警察廳 所屬의 警正이상의 警察官은 市·道地方警察廳長의 提請으로 市·道地方警察委員會와 國 
    家警察委員會의 同意를 얻어 大統領이 任命하고, 市·道地方警察廳 所屬의 警監이하의 警察官은 市·道地 
    方警察廳長의 提請으로 市·道地方警察委員會의 同意를 얻어 市·道知事가 任命하며, 市·道地方警察廳所
    屬의 警察職員중 警正이상의 警察官은 國家公務員으로, 警監이하의 警察官은 地方公務員으로 함(案 第30條 
    및 第31條)

14. 이 法은 공포후 3월이 경과한 날부터 施行하고, 이 法 施行후 최초로 任命되는 各級 委員의 임기는 國家警
    察委員會의 경우에는 國會에서 推薦하여 大統領이 任命하는 委員은 4年, 國務總理의 提請으로 大統領이 任
    命하는  委員은 2年으로 하고, 市·道地方警察委員會의 경우에는 市·道議會에서 推薦하여 市·道知事가 
    任命하는 委員은 4年, 市·道知事가 任命하는 委員은 2年으로 함(案 附則 第1項 및 第2項)"
6,6,행정,[152340] 도농복합형태의시설치에따른행정특례등에관한법률중개정법률안(채영석의원등 33인 외 5인) 입법예고중,"■ 제안이유 및 주요골자

1995年 1月 都農複合形態의 市 설치이후 都·農間의 均衡開發을 위하여 5年間 洞地域과 邑·面地域을 區分하여
 地方交付稅를 算定·交付함으로써 都農複合形態의 市의 邑·面地域에 대한 地方交付稅를 郡地域의 邑·面地域
에 준하도록 交付하는 特例를 인정하여 왔으나, 1998年이후 IMF經濟危機 등으로 인한 地方交付稅의 전체적인 
減少로 都·農間 均衡開發이 達成되지 못한 상태에서 대부분의 都農複合形態의 市에 대한 地方交付稅算定에관
한特例期間이 곧 滿了(2000年)됨에 따라 投資財源 確保의 어려움으로 都農複合形態의 市의 落後된 邑·面地域 
開發에 상당한 차질이 豫想되고 있어, 地方交付稅算定에관한特例期間인 5年을 10年으로 연장함으로써 同法 制
定의 당초 目的에 附合하도록 하고 都·農間의 均衡開發을 도모하려는 것임(案 第6條제1項)."
7,7,행정,[150252] 행정심판법중개정법률안(천정배의원등 5인 외 74인) 입법예고중,"■ 제안이유

現行 行政訴訟法은 行政處分에 대한 行政審判 節次에서 裁決이 내려진 경우 行政處分의 상대방인 國民(行政審
判 請求人)에게는 行政訴訟을 堤起할 수 있도록 하고 있음. 그 반면 원 處分廳은 그 裁決에 承服할 수 없는 경
우에도 行政訴訟을 제기할 수 없게 되어 있음. 이는 行政審判制度를 上級行政廳의 下級 行政廳에 대한 통제 수
단으로만 파악하고 있기 때문인 것으로 보임.
그러나 地方自治制의 본격 실시 등 사정이 변화함에 따라 원 處分廳이 地方自治團體의 長인 경우에 한하여 원 
處分廳에 行政訴訟을 堤起할 수 있도록 하는 것이 行政處分의 適法性과 일반국민의 권익을 보장하는 길이 될 
것임. 그 이유는 다음과 같음.

1.  地方自治團體의 長이 행한 處分에 대하여 그 地方自治團體의 長과 裁決廳(上級 地方自治團體의 長 또는 
    中央政府機關) 사이에 그 적법타당성 여부에 대하여 견해를 달리하는 사례가 다수 발생하고 있음. 이 경
    우 裁決廳의 견해를 무조건 따르도록 하는 것보다 法院이 最終的 判斷을 내리도록 하는 것이 地方自治制
    의 趣旨에 더욱 적합함.

2.  地方自治團體의 長의 處分은 다수 지역주민 또는 국민의 권익(環境保存, 風紀紊亂 防止 등)을 保護하기 
    위하여  내려지는 사례가 많음. 이 경우 원 處分廳이 裁決廳의 見解를 무조건 따라야 한다면 行政處分의 
    상대방인 특정 국민의 권익은 보호되는 반면에 다수 지역주민 또는 국민의 권익은 희생될 가능성이 커서 
    公益에 적합하지 않고 衡平에도 어긋남.

3.  行政審判機關이 行政處分의 상대방인 특정국민의 청탁 등의 결과 위법부당한 裁決을 내릴 가능성을 고려
    하여 그것을 시정할 길을 열어놓을 필요가 있음.

이에 行政審判 裁決에 대하여 地方自治團體의 長인 원 處分廳도 不服 提訴할 수 있도록 하고자 함과 동시에 위 行政訴訟이 확정될 때까지 行政審判法이 규정하고 있는 裁決의 羈束力 발생을 유보토록 하려는 것임.




■ 주요골자

行政處分의 裁決이 가지는 處分을 행한 行政廳에 대한 羈束力의 發生 시점을 行政訴訟의 判決 확정시로 함(案
第37條第6項)"
8,8,행정,[150251] 행정소송법중개정법률안(천정배의원등 5인 외 74인) 입법예고중,"■ 제안이유

현행 行政訴訟法은 行政處分에 대한 行政審判 절차에서 裁決이 내려진 경우 行政處分의 상대방인 國民(行政審
判 請求人)에게는 行政訴訟을 提起할 수 있도록 하고 있음. 그 반면 원 處分廳은 그 裁決에 承服할 수 없는 경
우에도 行政訴訟을 提起할 수 없게 되어 있음. 이는 行政審判制度를 上級行政廳의 下級 行政廳에 대한 통제 수
단으로만 파악하고 있기 때문인 것으로 보임.
그러나 地方自治制의 본격 실시 등 사정이 변화함에 따라 원 處分廳이 地方自治團體의 長인 경우에 한하여 원 
處分廳에 行政訴訟을 提起할 수 있도록 하는 것이 行政處分의 適法性과 일반국민의 권익을 보장하는 길이 될 
것임. 그 이유는 다음과 같음.

1.  地方自治團體의 長이 행한 處分에 대하여 그 地方自治團體의 長과 裁決廳(上級 地方自治團體의 長 또는 中
    央政府機關) 사이에 그 적법타당성 여부에 대하여 견해를 달리하는 사례가 다수 발생하고 있음. 이 경우 
    裁決廳의 견해를 무조건 따르도록 하는 것보다 法院이 最終的 判斷을 내리도록 하는 것이 地方自治制의 趣
    旨에 더욱 적합함.

2.  地方自治團體의 長의 處分은 다수 지역주민 또는 국민의 권익(環境保存, 風紀紊亂 防止 등)을 保護하기 위
    하여 내려지는 사례가 많음. 이 경우 원 處分廳이 裁決廳의 見解를 무조건 따라야 한다면 行政處分의 상대
    방인 특정 국민의 권익은 보호되는 반면에 다수 지역주민 또는 국민의 권익은 희생될 가능성이 커서 公益
    에 적합하지 않고 衡平에도 어긋남.

3.  行政審判機關이 行政處分의 상대방인 특정국민의 청탁 등의 결과 위법부당한 裁決을 내릴 가능성을 고려하
    여 그것을 시정할 길을 열어놓을 필요가 있음.

이에 行政審判 裁決에 대하여 地方自治團體의 長인 원 處分廳도 不服 提訴할 수 있도록 하고자 함.



■ 주요골자

行政審判의 裁決에 대하여 處分을 행한 地方自治團體의 長도 不服 行政訴訟을 提起할 수 있도록 하되 그 提訴
期限을 裁決廳의 正本 송달 후 14일까지로 함(案第13條의2, 第19條 但書, 第20條 但書)"
9,9,행정,[150245] 서울특별시행정특례에관한법률중개정법률안(이해찬의원등 10인 외 70인) 입법예고중,"■ 제안이유

현행 서울特別市行政特例에관한法律은 서울特別市의 지위·조직 및 운영에 관한 特例를 규정함을 목적으로 하
고 있는 바, 이에 따라 同法은 서울特別市의 首都로서의 특수한 지위, 조직상의 特例, 일반행정운영상의 特例, 
首都圈廣域行政 운영상의 特例 등을 규정하고 있음.  
그러나 同法의 일반행정운영상의 特例規定과 同法施行令의 關聯 規定중 서울特別市 소속 4급이하 國家公務員에 
대한 서울特別市長의 任用權限과 관련해서 이 規定은 1994년 3월 16일 地方自治法이 개정되기전까지는 다른 地
方自治團體의 長의 人事關係 權限과 비교할 때 서울特別市의 首都로서의 지위 등 특수한 지위를 고려하여 서울
特別市長의 人事權限을 강화하는 규정이었음. 
그러나 法과 制度에 의한 改革의 次元에서 改正된 地方自治法이 1994年 3月 16日 공포되어 地方自治團體의 長
이 소속 國家公務員 전체에 대하여 職級에 관계없이 提請權을 행사할 수 있게 되었는 바, 현실적으로 서울特別
市長은 다른 地方自治團體의 長에 비하여 同法과 同法施行令에 의해 4級 및 5級의 國家公務員과 硏究官에 대한 
任免·懲戒 기타 任用에 관한 權限을 더 행사하고 있지만 任免에 관한 權限은 任免提請權의 행사로 제한되어 
있고 그 행사도 內務部長官을 거쳐 總務處長官의 협의를 하여야 하는 것으로 되어 결과적으로 서울特別市의 일
반행정운영상의 特例를 규정하고 있었던 同法의 立法趣旨가 반감되어 있음. 
따라서 서울特別市의 首都로서의 특별한 지위를 고려하여 立案된 同法의 立法趣旨를 提高함과 동시에 地方自治
制度의 발전을 도모하기 위하여 이 改正案을 提案하는 것임.



■ 주요골자

서울特別市 소속 國家公務員의 任用 등에 관한 國家公務員法 第32條 第1項 내지 第3項, 第78條第1項·第4項 및 
第82條의 규정에 의한 소속 長官 또는 中央行政機關의 長이 가지는 權限은 서울特別市長이 이를 행하고, 이와 
관련된 行政訴訟의 被告는 同法 第16條의 규정에 불구하고 서울特別市長이 되도록 함(案 第4條第5項)"
